mode,top_k,alpha_xgb,rank_power,equal_mix,max_weight,score_rank_blend,portfolio_return,benchmark_return,excess_return,n,max_w,top10_sum
rank,30,0.35,2.0,0.2,0.04,0.2,0.06978167154880238,0.041279438261512036,0.028502233287290346,30,0.040000000000000015,0.4000000000000002
rank,30,0.8,1.6,0.05,0.04,0.2,0.06977461817465287,0.041279438261512036,0.028495179913140836,30,0.04000000000000001,0.40000000000000013
rank,30,0.2,0.8,0.2,0.1,0.2,0.06976451302011026,0.041279438261512036,0.028485074758598225,30,0.04826582377780148,0.4338000176557266
rank,30,0.2,0.8,0.2,0.05,0.2,0.06976451302011026,0.041279438261512036,0.028485074758598225,30,0.04826582377780148,0.4338000176557266
rank,30,0.2,0.8,0.2,0.06,0.2,0.06976451302011026,0.041279438261512036,0.028485074758598225,30,0.04826582377780148,0.4338000176557266
rank,30,0.2,0.8,0.2,0.08,0.2,0.06976451302011026,0.041279438261512036,0.028485074758598225,30,0.04826582377780148,0.4338000176557266
rank,30,0.5,2.0,0.1,0.04,0.2,0.0697412722747558,0.041279438261512036,0.02846183401324376,30,0.039999999999999994,0.3999999999999999
rank,30,0.8,1.6,0.0,0.04,0.2,0.0697380418702446,0.041279438261512036,0.028458603608732563,30,0.04,0.39999999999999997
rank,30,0.5,2.4,0.05,0.04,0.2,0.0697333263113605,0.041279438261512036,0.02845388804984847,30,0.039999999999999994,0.3999999999999999
rank,30,0.5,2.0,0.2,0.04,0.2,0.06971492327410304,0.041279438261512036,0.028435485012591008,30,0.039999999999999994,0.3999999999999999
